,0,1,2,3,4,5,6
187,2020-03-15 14:47:50,四川,绵阳,22,0,22,0
188,2020-03-15 14:47:50,四川,德阳,18,0,18,0
189,2020-03-15 14:47:50,四川,遂宁,17,0,17,0
190,2020-03-15 14:47:50,四川,攀枝花,16,0,16,0
191,2020-03-15 14:47:50,四川,凉山,13,0,13,0
192,2020-03-15 14:47:50,四川,宜宾,12,0,12,0
193,2020-03-15 14:47:50,四川,自贡,9,0,9,0
194,2020-03-15 14:47:50,四川,眉山,8,0,8,0
195,2020-03-15 14:47:50,四川,雅安,7,0,7,0
196,2020-03-15 14:47:50,四川,广元,6,0,6,0
197,2020-03-15 14:47:50,四川,资阳,4,0,4,0
198,2020-03-15 14:47:50,四川,乐山,3,0,3,0
199,2020-03-15 14:47:50,四川,阿坝,1,0,1,0
200,2020-03-15 14:47:50,黑龙江,哈尔滨,198,0,187,4
201,2020-03-15 14:47:50,黑龙江,双鸭山,52,0,48,3
202,2020-03-15 14:47:50,黑龙江,绥化,47,0,41,4
203,2020-03-15 14:47:50,黑龙江,鸡西,46,0,46,0
204,2020-03-15 14:47:50,黑龙江,齐齐哈尔,43,0,40,1
205,2020-03-15 14:47:50,黑龙江,大庆,26,0,23,1
206,2020-03-15 14:47:50,黑龙江,七台河,17,0,17,0
207,2020-03-15 14:47:50,黑龙江,佳木斯,15,0,15,0
208,2020-03-15 14:47:50,黑龙江,牡丹江,15,0,15,0
209,2020-03-15 14:47:50,黑龙江,黑河,14,0,13,0
210,2020-03-15 14:47:50,黑龙江,鹤岗,5,0,5,0
211,2020-03-15 14:47:50,黑龙江,大兴安岭,3,0,2,0
212,2020-03-15 14:47:50,黑龙江,伊春,1,0,1,0
213,2020-03-15 14:47:50,北京,朝阳,72,0,0,0
214,2020-03-15 14:47:50,北京,海淀,63,0,0,0
215,2020-03-15 14:47:50,北京,西城,53,0,0,0
216,2020-03-15 14:47:50,北京,丰台,43,0,0,0
217,2020-03-15 14:47:50,北京,大兴,39,0,0,0
218,2020-03-15 14:47:50,北京,昌平,29,0,0,0
219,2020-03-15 14:47:50,北京,境外输入,27,5,0,0
220,2020-03-15 14:47:50,北京,外地来京,25,0,0,0
221,2020-03-15 14:47:50,北京,通州,19,0,0,0
222,2020-03-15 14:47:50,北京,房山,16,0,0,0
223,2020-03-15 14:47:50,北京,石景山,14,0,0,0
224,2020-03-15 14:47:50,北京,东城,14,0,0,0
225,2020-03-15 14:47:50,北京,顺义,10,0,0,0
226,2020-03-15 14:47:50,北京,密云,7,0,0,0
227,2020-03-15 14:47:50,北京,怀柔,7,0,0,0
228,2020-03-15 14:47:50,北京,门头沟,3,0,0,0
229,2020-03-15 14:47:50,北京,延庆,1,0,0,0
230,2020-03-15 14:47:50,北京,地区待确认,0,0,353,8
231,2020-03-15 14:47:50,上海,外地来沪,111,0,106,0
232,2020-03-15 14:47:50,上海,浦东,61,0,59,0
233,2020-03-15 14:47:50,上海,宝山,21,0,19,0
234,2020-03-15 14:47:50,上海,闵行,19,0,19,0
235,2020-03-15 14:47:50,上海,徐汇,18,0,17,0
236,2020-03-15 14:47:50,上海,静安,16,0,15,0
237,2020-03-15 14:47:50,上海,境外输入,15,3,0,0
238,2020-03-15 14:47:50,上海,松江,14,0,14,0
239,2020-03-15 14:47:50,上海,长宁,13,0,13,0
240,2020-03-15 14:47:50,上海,普陀,11,0,11,0
241,2020-03-15 14:47:50,上海,杨浦,9,0,9,0
242,2020-03-15 14:47:50,上海,奉贤,9,0,9,0
243,2020-03-15 14:47:50,上海,嘉定,9,0,7,0
244,2020-03-15 14:47:50,上海,虹口,7,0,7,0
245,2020-03-15 14:47:50,上海,青浦,6,0,6,0
246,2020-03-15 14:47:50,上海,黄浦,6,0,5,0
247,2020-03-15 14:47:50,上海,崇明,4,0,4,0
248,2020-03-15 14:47:50,上海,金山,4,0,4,0
249,2020-03-15 14:47:50,上海,地区待确认,0,0,0,3
250,2020-03-15 14:47:50,河北,唐山,58,0,55,1
251,2020-03-15 14:47:50,河北,沧州,48,0,45,3
252,2020-03-15 14:47:50,河北,张家口,41,0,41,0
253,2020-03-15 14:47:50,河北,邯郸,32,0,32,0
254,2020-03-15 14:47:50,河北,保定,32,0,32,0
255,2020-03-15 14:47:50,河北,廊坊,30,0,30,0
256,2020-03-15 14:47:50,河北,石家庄,29,0,29,0
257,2020-03-15 14:47:50,河北,邢台,23,0,22,1
258,2020-03-15 14:47:50,河北,秦皇岛,10,0,9,1
259,2020-03-15 14:47:50,河北,衡水,8,0,8,0
260,2020-03-15 14:47:50,河北,承德,7,0,7,0
261,2020-03-15 14:47:50,福建,福州,72,0,71,1
262,2020-03-15 14:47:50,福建,莆田,56,0,56,0
263,2020-03-15 14:47:50,福建,泉州,47,0,47,0
264,2020-03-15 14:47:50,福建,厦门,35,0,35,0
265,2020-03-15 14:47:50,福建,宁德,26,0,26,0
266,2020-03-15 14:47:50,福建,南平,20,0,20,0
267,2020-03-15 14:47:50,福建,漳州,20,0,20,0
268,2020-03-15 14:47:50,福建,三明,14,0,14,0
269,2020-03-15 14:47:50,福建,龙岩,6,0,6,0
270,2020-03-15 14:47:50,福建,地区待确认,0,0,0,0
271,2020-03-15 14:47:50,广西,南宁,55,0,54,0
272,2020-03-15 14:47:50,广西,北海,44,0,41,1
273,2020-03-15 14:47:50,广西,桂林,32,0,32,0
274,2020-03-15 14:47:50,广西,河池,28,0,27,1
275,2020-03-15 14:47:50,广西,柳州,24,0,23,0
276,2020-03-15 14:47:50,广西,防城港,19,0,17,0
277,2020-03-15 14:47:50,广西,来宾,11,0,10,0
278,2020-03-15 14:47:50,广西,玉林,11,0,11,0
279,2020-03-15 14:47:50,广西,钦州,8,0,8,0
280,2020-03-15 14:47:50,广西,贵港,8,0,8,0
281,2020-03-15 14:47:50,广西,梧州,5,0,5,0
282,2020-03-15 14:47:50,广西,贺州,4,0,4,0
283,2020-03-15 14:47:50,广西,百色,3,0,3,0
284,2020-03-15 14:47:50,陕西,西安,120,0,110,2
285,2020-03-15 14:47:50,陕西,汉中,26,0,25,0
286,2020-03-15 14:47:50,陕西,安康,26,0,26,0
287,2020-03-15 14:47:50,陕西,咸阳,17,0,16,0
288,2020-03-15 14:47:50,陕西,渭南,15,0,14,0
289,2020-03-15 14:47:50,陕西,宝鸡,13,0,13,0
290,2020-03-15 14:47:50,陕西,铜川,8,0,8,0
291,2020-03-15 14:47:50,陕西,延安,8,0,8,0
292,2020-03-15 14:47:50,陕西,商洛,7,0,7,0
293,2020-03-15 14:47:50,陕西,榆林,3,0,3,0
294,2020-03-15 14:47:50,陕西,韩城,1,0,1,0
295,2020-03-15 14:47:50,陕西,杨凌,1,0,1,0
296,2020-03-15 14:47:50,陕西,地区待确认,0,0,0,0
297,2020-03-15 14:47:50,云南,昆明,53,0,53,0
298,2020-03-15 14:47:50,云南,昭通市,25,0,25,0
299,2020-03-15 14:47:50,云南,西双版纳州,15,0,14,1
300,2020-03-15 14:47:50,云南,玉溪,14,0,13,1
301,2020-03-15 14:47:50,云南,曲靖,13,0,13,0
302,2020-03-15 14:47:50,云南,大理,13,0,13,0
303,2020-03-15 14:47:50,云南,保山市,9,0,9,0
304,2020-03-15 14:47:50,云南,红河,9,0,9,0
305,2020-03-15 14:47:50,云南,丽江市,7,0,7,0
306,2020-03-15 14:47:50,云南,德宏州,5,0,5,0
307,2020-03-15 14:47:50,云南,普洱,4,0,4,0
308,2020-03-15 14:47:50,云南,楚雄州,4,0,4,0
309,2020-03-15 14:47:50,云南,文山州,2,0,2,0
310,2020-03-15 14:47:50,云南,临沧,1,0,1,0
311,2020-03-15 14:47:50,海南,三亚,54,0,53,1
312,2020-03-15 14:47:50,海南,海口,39,0,38,0
313,2020-03-15 14:47:50,海南,儋州,15,0,13,1
314,2020-03-15 14:47:50,海南,万宁,13,0,13,0
315,2020-03-15 14:47:50,海南,澄迈县,9,0,8,1
316,2020-03-15 14:47:50,海南,昌江县,7,0,7,0
317,2020-03-15 14:47:50,海南,琼海,6,0,5,1
318,2020-03-15 14:47:50,海南,临高县,6,0,6,0
319,2020-03-15 14:47:50,海南,陵水县,4,0,4,0
320,2020-03-15 14:47:50,海南,保亭,3,0,3,0
321,2020-03-15 14:47:50,海南,东方,3,0,2,1
322,2020-03-15 14:47:50,海南,定安县,3,0,2,1
323,2020-03-15 14:47:50,海南,文昌,3,0,3,0
324,2020-03-15 14:47:50,海南,乐东,2,0,2,0
325,2020-03-15 14:47:50,海南,琼中县,1,0,1,0
326,2020-03-15 14:47:50,贵州,贵阳,36,0,34,1
327,2020-03-15 14:47:50,贵州,遵义,32,0,32,0
328,2020-03-15 14:47:50,贵州,毕节,23,0,23,0
329,2020-03-15 14:47:50,贵州,黔南州,17,0,17,0
330,2020-03-15 14:47:50,贵州,六盘水,10,0,9,1
331,2020-03-15 14:47:50,贵州,黔东南州,10,0,10,0
332,2020-03-15 14:47:50,贵州,铜仁,10,0,10,0
333,2020-03-15 14:47:50,贵州,安顺,4,0,4,0
334,2020-03-15 14:47:50,贵州,黔西南州,4,0,4,0
335,2020-03-15 14:47:50,香港,地区待确认,141,4,81,4
336,2020-03-15 14:47:50,天津,宝坻区,60,0,57,2
337,2020-03-15 14:47:50,天津,河东区,15,0,14,1
338,2020-03-15 14:47:50,天津,河北区,12,0,12,0
339,2020-03-15 14:47:50,天津,外地来津,6,0,6,0
340,2020-03-15 14:47:50,天津,北辰区,6,0,6,0
341,2020-03-15 14:47:50,天津,南开区,6,0,6,0
342,2020-03-15 14:47:50,天津,和平区,6,0,6,0
343,2020-03-15 14:47:50,天津,宁河区,4,0,4,0
344,2020-03-15 14:47:50,天津,东丽区,4,0,4,0
345,2020-03-15 14:47:50,天津,河西区,4,0,4,0
346,2020-03-15 14:47:50,天津,西青区,4,0,4,0
347,2020-03-15 14:47:50,天津,滨海新区,3,0,3,0
348,2020-03-15 14:47:50,天津,津南区,2,0,2,0
349,2020-03-15 14:47:50,天津,武清区,2,0,2,0
350,2020-03-15 14:47:50,天津,红桥区,2,0,2,0
351,2020-03-15 14:47:50,山西,晋中,37,0,37,0
352,2020-03-15 14:47:50,山西,太原,20,0,20,0
353,2020-03-15 14:47:50,山西,运城,19,0,19,0
354,2020-03-15 14:47:50,山西,大同,12,0,12,0
355,2020-03-15 14:47:50,山西,晋城,10,0,10,0
356,2020-03-15 14:47:50,山西,长治,8,0,8,0
357,2020-03-15 14:47:50,山西,朔州,8,0,8,0
358,2020-03-15 14:47:50,山西,忻州,7,0,7,0
359,2020-03-15 14:47:50,山西,吕梁,6,0,6,0
360,2020-03-15 14:47:50,山西,阳泉,4,0,4,0
361,2020-03-15 14:47:50,山西,临汾,2,0,2,0
362,2020-03-15 14:47:50,甘肃,境外输入,41,3,2,0
363,2020-03-15 14:47:50,甘肃,兰州,36,0,34,2
364,2020-03-15 14:47:50,甘肃,天水,12,0,12,0
365,2020-03-15 14:47:50,甘肃,定西,9,0,9,0
366,2020-03-15 14:47:50,甘肃,平凉,9,0,9,0
367,2020-03-15 14:47:50,甘肃,甘南州,8,0,8,0
368,2020-03-15 14:47:50,甘肃,陇南,4,0,4,0
369,2020-03-15 14:47:50,甘肃,白银,4,0,4,0
370,2020-03-15 14:47:50,甘肃,庆阳,3,0,3,0
371,2020-03-15 14:47:50,甘肃,临夏,3,0,3,0
372,2020-03-15 14:47:50,甘肃,张掖,2,0,2,0
373,2020-03-15 14:47:50,甘肃,金昌,1,0,1,0
374,2020-03-15 14:47:50,甘肃,地区待确认,0,0,0,0
375,2020-03-15 14:47:50,辽宁,沈阳,28,0,26,0
376,2020-03-15 14:47:50,辽宁,大连,19,0,17,0
377,2020-03-15 14:47:50,辽宁,葫芦岛,12,0,9,1
378,2020-03-15 14:47:50,辽宁,锦州,12,0,12,0
379,2020-03-15 14:47:50,辽宁,丹东,11,0,7,0
380,2020-03-15 14:47:50,辽宁,盘锦,11,0,11,0
381,2020-03-15 14:47:50,辽宁,阜新,8,0,8,0
382,2020-03-15 14:47:50,辽宁,铁岭,7,0,7,0
383,2020-03-15 14:47:50,辽宁,朝阳市,6,0,5,0
384,2020-03-15 14:47:50,辽宁,鞍山,4,0,4,0
385,2020-03-15 14:47:50,辽宁,本溪,3,0,3,0
386,2020-03-15 14:47:50,辽宁,辽阳,3,0,3,0
387,2020-03-15 14:47:50,辽宁,营口,1,0,1,0
388,2020-03-15 14:47:50,吉林,长春,45,0,45,0
389,2020-03-15 14:47:50,吉林,四平,15,0,14,1
390,2020-03-15 14:47:50,吉林,辽源,7,0,7,0
391,2020-03-15 14:47:50,吉林,通化,6,0,5,0
392,2020-03-15 14:47:50,吉林,公主岭,6,0,6,0
393,2020-03-15 14:47:50,吉林,延边,5,0,5,0
394,2020-03-15 14:47:50,吉林,吉林,5,0,5,0
395,2020-03-15 14:47:50,吉林,松原,2,0,2,0
396,2020-03-15 14:47:50,吉林,白城,1,0,1,0
397,2020-03-15 14:47:50,吉林,梅河口市,1,0,1,0
398,2020-03-15 14:47:50,新疆,乌鲁木齐,23,0,23,0
399,2020-03-15 14:47:50,新疆,伊犁州,18,0,18,0
400,2020-03-15 14:47:50,新疆,兵团第四师,10,0,9,1
401,2020-03-15 14:47:50,新疆,昌吉州,4,0,4,0
402,2020-03-15 14:47:50,新疆,第八师石河子,4,0,3,1
403,2020-03-15 14:47:50,新疆,兵团第九师,4,0,3,1
404,2020-03-15 14:47:50,新疆,吐鲁番,3,0,3,0
405,2020-03-15 14:47:50,新疆,兵团第十二师,3,0,3,0
406,2020-03-15 14:47:50,新疆,巴州,3,0,3,0
407,2020-03-15 14:47:50,新疆,六师五家渠,2,0,2,0
408,2020-03-15 14:47:50,新疆,第七师,1,0,1,0
409,2020-03-15 14:47:50,新疆,阿克苏,1,0,1,0
410,2020-03-15 14:47:50,内蒙古,鄂尔多斯,11,0,11,0
411,2020-03-15 14:47:50,内蒙古,包头,11,0,9,0
412,2020-03-15 14:47:50,内蒙古,赤峰,9,0,9,0
413,2020-03-15 14:47:50,内蒙古,锡林郭勒,9,0,9,0
414,2020-03-15 14:47:50,内蒙古,巴彦淖尔,8,0,7,1
415,2020-03-15 14:47:50,内蒙古,通辽,7,0,7,0
416,2020-03-15 14:47:50,内蒙古,呼和浩特,7,0,6,0
417,2020-03-15 14:47:50,内蒙古,呼伦贝尔,7,0,7,0
418,2020-03-15 14:47:50,内蒙古,乌兰察布,3,0,3,0
419,2020-03-15 14:47:50,内蒙古,乌海,2,0,2,0
420,2020-03-15 14:47:50,内蒙古,兴安盟,1,0,1,0
421,2020-03-15 14:47:50,宁夏,银川,36,0,35,0
422,2020-03-15 14:47:50,宁夏,吴忠,28,0,28,0
423,2020-03-15 14:47:50,宁夏,固原,5,0,5,0
424,2020-03-15 14:47:50,宁夏,中卫,4,0,3,0
425,2020-03-15 14:47:50,宁夏,石嘴山,1,0,1,0
426,2020-03-15 14:47:50,宁夏,宁东管委会,1,0,1,0
427,2020-03-15 14:47:50,台湾,地区待确认,59,6,20,1
428,2020-03-15 14:47:50,青海,西宁,15,0,15,0
429,2020-03-15 14:47:50,青海,海北州,3,0,3,0
430,2020-03-15 14:47:50,澳门,地区待确认,10,0,10,0
431,2020-03-15 14:47:50,西藏,拉萨,1,0,1,0
